condition_id,artifact_type,source_relative_path,public_path,source_sha256,public_sha256,publication_decision
deepseek_chat_v3_2__java__fs,raw_generation,outputs/raw_generations/commercial-new/deepseek_chat_P1_few_shot_java_400_v1.jsonl,experiments/core_400/deepseek_chat_v3_2/java/fs/generation/raw_generations.jsonl,9518a14efa370f2f6f59ee71ade022b262f2921443373ae8072cf1d87160871d,9518a14efa370f2f6f59ee71ade022b262f2921443373ae8072cf1d87160871d,INCLUDE_GIT
deepseek_chat_v3_2__java__fs,automatic_detailed,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_java_400_v1_detailed.jsonl,experiments/core_400/deepseek_chat_v3_2/java/fs/assessment/automatic_detailed.jsonl,5937954c6c2c9043c6806cab4b03ef41f8be148158eb152fe4a1f0419ed1b143,5937954c6c2c9043c6806cab4b03ef41f8be148158eb152fe4a1f0419ed1b143,INCLUDE_GIT
deepseek_chat_v3_2__java__fs,automatic_summary,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_java_400_v1_summary.json,experiments/core_400/deepseek_chat_v3_2/java/fs/assessment/automatic_summary.json,c8448f2d73b915591e0f16bc86458955c4195de8e4526239bb75a10b3aa3f68c,c8448f2d73b915591e0f16bc86458955c4195de8e4526239bb75a10b3aa3f68c,INCLUDE_GIT
deepseek_chat_v3_2__java__fs,code_grounded_detailed,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_java_400_v1_code_grounded_detailed.jsonl,experiments/core_400/deepseek_chat_v3_2/java/fs/assessment/code_grounded_detailed.jsonl,ba67d0c8352c872b512e9994a7a5c5fd0c2b5f4d33d03c77175bd04322d3776b,ba67d0c8352c872b512e9994a7a5c5fd0c2b5f4d33d03c77175bd04322d3776b,INCLUDE_GIT
deepseek_chat_v3_2__java__fs,code_grounded_summary,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_java_400_v1_code_grounded_summary.json,experiments/core_400/deepseek_chat_v3_2/java/fs/assessment/code_grounded_summary.json,202a656d8b0e7bea179b742bc374fd41c48f950c45d1b3ecc41e6d544aeeed28,202a656d8b0e7bea179b742bc374fd41c48f950c45d1b3ecc41e6d544aeeed28,INCLUDE_GIT
deepseek_chat_v3_2__java__os,raw_generation,outputs/raw_generations/commercial-new/deepseek_chat_P1_one_shot_java_400_v1.jsonl,experiments/core_400/deepseek_chat_v3_2/java/os/generation/raw_generations.jsonl,ca6fcecd17345049142443e42e3aa8121d2b41d20f91cb864b859a2b10fc4318,ca6fcecd17345049142443e42e3aa8121d2b41d20f91cb864b859a2b10fc4318,INCLUDE_GIT
deepseek_chat_v3_2__java__os,automatic_detailed,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_one_shot_java_400_v1_detailed.jsonl,experiments/core_400/deepseek_chat_v3_2/java/os/assessment/automatic_detailed.jsonl,194ad90feca61636cc49d3bc085b16297bcd9c951648a4f65d6e7837fd4f39b7,194ad90feca61636cc49d3bc085b16297bcd9c951648a4f65d6e7837fd4f39b7,INCLUDE_GIT
deepseek_chat_v3_2__java__os,automatic_summary,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_one_shot_java_400_v1_summary.json,experiments/core_400/deepseek_chat_v3_2/java/os/assessment/automatic_summary.json,429a45c902ce080efdb893560fcb0ff6eb54a03829c33c4ad4b15b09521178e1,429a45c902ce080efdb893560fcb0ff6eb54a03829c33c4ad4b15b09521178e1,INCLUDE_GIT
deepseek_chat_v3_2__java__os,code_grounded_detailed,outputs/segregated_results/commercial-base/correctness/deepseek_chat_P1_one_shot_java_400_v1_correctness.json_detailed.jsonl,experiments/core_400/deepseek_chat_v3_2/java/os/assessment/code_grounded_detailed.jsonl,65c4aa9b816c67779af5adae13d4746500fa19a978a7e97c0d27822c4b67e73e,65c4aa9b816c67779af5adae13d4746500fa19a978a7e97c0d27822c4b67e73e,INCLUDE_GIT
deepseek_chat_v3_2__java__os,code_grounded_summary,outputs/segregated_results/commercial-base/correctness/deepseek_chat_P1_one_shot_java_400_v1_correctness.json_summary.json,experiments/core_400/deepseek_chat_v3_2/java/os/assessment/code_grounded_summary.json,2d109e258deaff62f120f8f4705dd8868eae09768dc5b285b488203da61e98f1,2d109e258deaff62f120f8f4705dd8868eae09768dc5b285b488203da61e98f1,INCLUDE_GIT
deepseek_chat_v3_2__java__zs,raw_generation,outputs/raw_generations/commercial-new/deepseek_chat_P1_zero_shot_java_400_v1.jsonl,experiments/core_400/deepseek_chat_v3_2/java/zs/generation/raw_generations.jsonl,bb00e42153b6c66b8b51bfc93ab2e43c317d53bd3ed25ec2d6d1d3db6ca87924,bb00e42153b6c66b8b51bfc93ab2e43c317d53bd3ed25ec2d6d1d3db6ca87924,INCLUDE_GIT
deepseek_chat_v3_2__java__zs,automatic_detailed,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_zero_shot_java_400_v1_detailed.jsonl,experiments/core_400/deepseek_chat_v3_2/java/zs/assessment/automatic_detailed.jsonl,492fb3c8d0ed20d22b59a45446787b920f1c7f06112b85c554a822e80e518b56,492fb3c8d0ed20d22b59a45446787b920f1c7f06112b85c554a822e80e518b56,INCLUDE_GIT
deepseek_chat_v3_2__java__zs,automatic_summary,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_zero_shot_java_400_v1_summary.json,experiments/core_400/deepseek_chat_v3_2/java/zs/assessment/automatic_summary.json,03eaa835fb3d5fc830f3c35ed3d3f904f8de87857d64d0d92f3baebbd8bae98d,03eaa835fb3d5fc830f3c35ed3d3f904f8de87857d64d0d92f3baebbd8bae98d,INCLUDE_GIT
deepseek_chat_v3_2__java__zs,code_grounded_detailed,outputs/segregated_results/commercial-base/correctness/deepseek_chat_P1_zero_shot_java_400_v1_correctness.json_detailed.jsonl,experiments/core_400/deepseek_chat_v3_2/java/zs/assessment/code_grounded_detailed.jsonl,01904ec460a130d23991da997ccd48660ca5da4f7956fd3af338e1bea75f904d,01904ec460a130d23991da997ccd48660ca5da4f7956fd3af338e1bea75f904d,INCLUDE_GIT
deepseek_chat_v3_2__java__zs,code_grounded_summary,outputs/segregated_results/commercial-base/correctness/deepseek_chat_P1_zero_shot_java_400_v1_correctness.json_summary.json,experiments/core_400/deepseek_chat_v3_2/java/zs/assessment/code_grounded_summary.json,8f2478f41657cf0d7eb8c1a16d531134b057178762ef2884343f85981059f464,8f2478f41657cf0d7eb8c1a16d531134b057178762ef2884343f85981059f464,INCLUDE_GIT
deepseek_chat_v3_2__javascript__fs,raw_generation,outputs/raw_generations/commercial-new/deepseek_chat_P1_few_shot_javascript_400_v1.jsonl,experiments/core_400/deepseek_chat_v3_2/javascript/fs/generation/raw_generations.jsonl,7d348408773403a67f7ab3e815371466524b7e27f29e9ae7ccad436bdbaa0962,7d348408773403a67f7ab3e815371466524b7e27f29e9ae7ccad436bdbaa0962,INCLUDE_GIT
deepseek_chat_v3_2__javascript__fs,automatic_detailed,outputs/segregated_results/commercial-base/may2026/commercial-new/deepseek_chat_P1_few_shot_javascript_400_v1_detailed.jsonl,experiments/core_400/deepseek_chat_v3_2/javascript/fs/assessment/automatic_detailed.jsonl,7cd6f217d12bbd8f51e6a0df9e506dd4612a87fcf30cbd9f72e2152ecaa435e9,7cd6f217d12bbd8f51e6a0df9e506dd4612a87fcf30cbd9f72e2152ecaa435e9,INCLUDE_GIT
